date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-15,镇江分公司,43647,12207744.91,12207746.91,2,1554236.86
2023-1-15,高速石油公司,110606,32230878.18,32230878.18,0,4112349.08
2023-1-15,,9110,2657964.82,2657964.82,0,357658.32
2023-1-16,中石化壳牌合资公司,127208,38244047.94,38244047.94,0,4822129.51
2023-1-16,南京分公司,164523,48647507.35,48647556.21,48.86,6228113.33
2023-1-16,南通分公司,110169,31826010.26,31826010.26,0,4032448.86
2023-1-16,宿迁分公司,55908,14766950.15,14766950.15,0,1898118.2
2023-1-16,常州分公司,89118,26693620.4,26693671.67,51.27,3485584.67
2023-1-16,徐州分公司,91002,24327619.82,24327636.21,16.39,3253175.18
2023-1-16,扬州分公司,62469,17677866.35,17677965.94,99.59,2248386.6
2023-1-16,无锡分公司,78257,23368558.03,23368558.03,0,2970137.28
2023-1-16,江阴分公司,25081,7504167.97,7504167.97,0,981727.72
2023-1-16,泰州分公司,69170,19532372.58,19532381.58,9,2482112.94
2023-1-16,淮安分公司,55995,15672645.44,15672645.44,0,1993968.72
2023-1-16,盐城分公司,69382,19994629.66,19994629.66,0,2527931.99
2023-1-16,苏州分公司,141405,42906381.45,42906381.45,0,5451889.55
2023-1-16,连云港分公司,54077,14237569.74,14237569.74,0,1860041.2
2023-1-16,镇江分公司,45873,12950593.93,12950593.93,0,1646852.25
2023-1-16,高速石油公司,108562,31829190.41,31829190.41,0,4057073.36
2023-1-16,,9354,2653374.65,2653374.65,0,339921.21
2023-1-17,中石化壳牌合资公司,114822,33819009.58,33819009.58,0,4263291.4
2023-1-17,南京分公司,162177,47366730.9,47366764.22,33.32,6306225.34
2023-1-17,南通分公司,109425,31354893.83,31354893.83,0,3970546.52
2023-1-17,宿迁分公司,57783,15022551.44,15022551.44,0,2040753.82
2023-1-17,常州分公司,82544,23996859.02,23996901.02,42,3093267.09
2023-1-17,徐州分公司,96044,25305357.6,25305366.6,9,3298973.61
2023-1-17,扬州分公司,61055,16896996.35,16897043.41,47.06,2143960.38
2023-1-17,无锡分公司,73285,21355643.75,21355643.75,0,2702243.26
2023-1-17,江阴分公司,23352,6837015.61,6837015.61,0,862662.03
2023-1-17,泰州分公司,68612,19096277.3,19096322.53,45.23,2424360.14
2023-1-17,淮安分公司,56911,15496196.91,15496196.91,0,1968687.42
2023-1-17,盐城分公司,68669,19178164.77,19178164.77,0,2420531.63
2023-1-17,苏州分公司,127852,37949250.77,37949250.77,0,4811739.86
2023-1-17,连云港分公司,55322,14298882.83,14298890.63,7.8,1812260.71
2023-1-17,镇江分公司,44846,12298335.99,12298335.99,0,1562128.01
2023-1-17,高速石油公司,105884,30872425.48,30872425.48,0,3926859.87
2023-1-17,,9231,2600425.9,2600425.9,0,333152.2
2023-1-18,中石化壳牌合资公司,127768,38226555.19,38226565.16,9.97,4920823.54
2023-1-18,南京分公司,196220,57650939.43,57651043.43,104,7475129.83
2023-1-18,南通分公司,130082,38238937.05,38238937.05,0,4943011.05
2023-1-18,宿迁分公司,65294,17531144.31,17531144.31,0,2265763.02
2023-1-18,常州分公司,95758,28820836.12,28820891.2,55.08,3902437.71
2023-1-18,徐州分公司,101563,27332401.68,27332445.73,44.05,3561317.01
2023-1-18,扬州分公司,73099,20808447.33,20808608.18,160.85,2699786.44
2023-1-18,无锡分公司,84471,25190999.44,25191024.29,24.85,3251429.12
2023-1-18,江阴分公司,26865,8097016.87,8097016.87,0,1083720.37
2023-1-18,泰州分公司,81898,23498805.75,23498896.42,90.67,3045734.75
2023-1-18,淮安分公司,64478,17986657.25,17986657.25,0,2325995.93
2023-1-18,盐城分公司,80809,23367572.17,23367597.9,25.73,3011779.26
2023-1-18,苏州分公司,140480,42043030.04,42043030.04,0,5443187.82
2023-1-18,连云港分公司,61456,16115376.38,16115385.38,9,2082654.08
2023-1-18,镇江分公司,52423,15169804.08,15169804.08,0,1968688.61
2023-1-18,高速石油公司,104748,29996559.31,29996559.31,0,3892621.83
2023-1-18,,9866,2769592.66,2769592.66,0,360920.02
2023-1-19,中石化壳牌合资公司,111556,32875966.9,32875989.53,22.63,4221277.97
2023-1-19,南京分公司,183611,52273943.89,52274095.15,151.26,6816495.82
2023-1-19,南通分公司,127598,36667803.55,36667803.55,0,4729886.63
2023-1-19,宿迁分公司,65897,17151581.78,17151581.78,0,2228562.41
2023-1-19,常州分公司,85985,25184734.7,25184892.69,157.99,3364473.99
2023-1-19,徐州分公司,102392,26919579.04,26919647.98,68.94,3489121.19
2023-1-19,扬州分公司,73277,20289372.32,20289552.31,179.99,2620216.37
2023-1-19,无锡分公司,73750,21378043.25,21378053.32,10.07,2757048.7
2023-1-19,江阴分公司,23000,6773804.99,6773804.99,0,883243.72
2023-1-19,泰州分公司,80673,22408947.54,22409048.83,101.29,2898021.43
2023-1-19,淮安分公司,65170,17740235.81,17740244.81,9,2288138.92
2023-1-19,盐城分公司,86765,24340776.83,24340785.47,8.64,3127476.68
2023-1-19,苏州分公司,115095,33790380.47,33790380.47,0,4398066.47
2023-1-19,连云港分公司,63809,16501390.11,16501416.35,26.24,2208820.04
2023-1-19,镇江分公司,51022,13910128.05,13910128.05,0,1795709.88
2023-1-19,高速石油公司,96352,27409476.53,27409476.53,0,3545995.31
2023-1-19,,9936,2675112.11,2675112.11,0,347788.4
2023-1-20,中石化壳牌合资公司,107237,30786585.51,30786629.16,43.65,3949377.62
2023-1-20,南京分公司,183798,51081567.74,51081777.4,209.66,6666218.61
2023-1-20,南通分公司,147077,41454285.36,41454285.36,0,5337233.92
2023-1-20,宿迁分公司,71059,18499244.97,18499244.97,0,2547446.3
2023-1-20,常州分公司,89185,25352737.35,25352899.16,161.81,3394976.25
2023-1-20,徐州分公司,108393,28090413.51,28090520.59,107.08,3923299.03
2023-1-20,扬州分公司,86082,23272961.33,23273165.14,203.81,2996569.86
2023-1-20,无锡分公司,75955,21468005.92,21468063.92,58,2758580.07
2023-1-20,江阴分公司,24110,6882796.57,6882796.57,0,899725.39
2023-1-20,泰州分公司,98247,26542687.74,26542713.41,25.67,3418309.96
2023-1-20,淮安分公司,77809,20833626.68,20833632.77,6.09,2679045.93
2023-1-20,盐城分公司,104952,28920776.9,28920793.75,16.85,3706974.26
2023-1-20,苏州分公司,106558,30422032.98,30422032.98,0,3944205.68
2023-1-20,连云港分公司,73930,19114915.83,19114924.83,9,2610836.48
2023-1-20,镇江分公司,58090,15411527.32,15411562.42,35.1,1986238.18
2023-1-20,高速石油公司,89544,25234052.53,25234052.53,0,3259549.18
2023-1-20,,10936,2867870.35,2867870.35,0,371605.1
2023-1-21,中石化壳牌合资公司,92235,25767345.35,25767359.73,14.38,3296915.41
2023-1-21,南京分公司,144099,38772931.18,38772938.68,7.5,4997561.46
2023-1-21,南通分公司,163426,44489755.65,44489755.65,0,5714288.58
2023-1-21,宿迁分公司,66731,16865771.52,16865781.93,10.41,2189473.1
2023-1-21,常州分公司,86904,23842856.12,23842867.13,11.01,3082909.33
2023-1-21,徐州分公司,93900,23475071.51,23475147.68,76.17,3010976.13
2023-1-21,扬州分公司,80129,20950328.99,20950411.55,82.56,2714533.33
2023-1-21,无锡分公司,67225,18483828.87,18483906.64,77.77,2370617.42
2023-1-21,江阴分公司,24191,6807594.61,6807594.61,0,920422.2
2023-1-21,泰州分公司,101573,26524443.49,26524443.49,0,3409431.53
2023-1-21,淮安分公司,84896,21818701.37,21818701.37,0,2798910.44
2023-1-21,盐城分公司,113528,30066208.83,30066208.83,0,3846104.79
2023-1-21,苏州分公司,83421,23201610.77,23201610.77,0,2981353.55
2023-1-21,连云港分公司,73569,18316076.64,18316085.64,9,2398152.74
2023-1-21,镇江分公司,60991,15626179.71,15626188.71,9,2009787.42
2023-1-21,高速石油公司,86177,23082602.17,23082602.17,0,2980975.28
2023-1-21,,13053,3411903.31,3411903.31,0,440665.31
2023-1-22,中石化壳牌合资公司,41161,11705705.04,11705711.93,6.89,1507966.29
2023-1-22,南京分公司,69346,19134634.19,19134647,12.81,2492711.92
2023-1-22,南通分公司,35399,9936870.58,9936876.14,5.56,1273968.81
2023-1-22,宿迁分公司,32543,8339911.51,8339911.51,0,1069904.5
2023-1-22,常州分公司,31698,8966716.86,8966728.95,12.09,1166024.76
2023-1-22,徐州分公司,52774,13211785.34,13211815.26,29.92,1692677.54
2023-1-22,扬州分公司,22744,6124532.01,6124542.66,10.65,787052.05
2023-1-22,无锡分公司,26243,7407190.81,7407197.6,6.79,949652.13
2023-1-22,江阴分公司,8720,2477246.62,2477246.62,0,316408.68
2023-1-22,泰州分公司,19805,5356057.46,5356057.46,0,687327.5
2023-1-22,淮安分公司,24362,6390022.33,6390022.33,0,819154.25
2023-1-22,盐城分公司,25860,7030590.07,7030590.07,0,899802.11
2023-1-22,苏州分公司,39021,11049368.93,11049368.93,0,1443732.1
2023-1-22,连云港分公司,30222,7694264.31,7694264.31,0,991383.2
